timestamp,beats per minute
2025-08-20T14:23:17Z,99
2025-08-20T14:23:27Z,100
2025-08-20T14:23:32Z,98
2025-08-20T14:23:37Z,99
2025-08-20T14:23:42Z,101
2025-08-20T14:23:47Z,102
2025-08-20T14:23:57Z,104
2025-08-20T14:24:02Z,100
2025-08-20T14:24:07Z,98
2025-08-20T14:24:17Z,101
2025-08-20T14:24:22Z,104
2025-08-20T14:24:27Z,105
2025-08-20T14:24:37Z,107
2025-08-20T14:24:42Z,106
2025-08-20T14:24:47Z,101
2025-08-20T14:24:57Z,99
2025-08-20T14:25:02Z,97
2025-08-20T14:25:12Z,97
2025-08-20T14:25:17Z,97
2025-08-20T14:25:32Z,97
2025-08-20T14:25:47Z,97
2025-08-20T14:25:52Z,98
2025-08-20T14:26:02Z,96
2025-08-20T14:26:07Z,96
2025-08-20T14:26:17Z,90
2025-08-20T14:26:32Z,90
2025-08-20T14:26:37Z,89
2025-08-20T14:26:42Z,86
2025-08-20T14:26:47Z,88
2025-08-20T14:26:57Z,89
2025-08-20T14:27:02Z,90
2025-08-20T14:27:07Z,91
2025-08-20T14:27:12Z,90
2025-08-20T14:27:22Z,90
2025-08-20T14:27:37Z,90
2025-08-20T14:27:52Z,91
2025-08-20T14:28:07Z,90
2025-08-20T14:28:12Z,90
2025-08-20T14:28:27Z,90
2025-08-20T14:28:42Z,90
2025-08-20T14:28:52Z,91
2025-08-20T14:28:57Z,92
2025-08-20T14:29:02Z,94
2025-08-20T14:29:07Z,95
2025-08-20T14:29:17Z,98
2025-08-20T14:29:22Z,99
2025-08-20T14:29:27Z,100
2025-08-20T14:29:32Z,102
2025-08-20T14:29:37Z,103
2025-08-20T14:29:42Z,102
2025-08-20T14:29:47Z,100
2025-08-20T14:29:57Z,101
2025-08-20T14:30:07Z,96
2025-08-20T14:30:17Z,98
2025-08-20T14:30:22Z,99
2025-08-20T14:30:27Z,101
2025-08-20T14:30:32Z,103
2025-08-20T14:30:37Z,104
2025-08-20T14:30:47Z,105
2025-08-20T14:30:52Z,106
2025-08-20T14:30:57Z,105
2025-08-20T14:31:02Z,103
2025-08-20T14:31:07Z,104
2025-08-20T14:31:12Z,103
2025-08-20T14:31:27Z,103
2025-08-20T14:31:32Z,104
2025-08-20T14:31:37Z,103
2025-08-20T14:31:42Z,100
2025-08-20T14:31:47Z,99
2025-08-20T14:31:52Z,103
2025-08-20T14:31:57Z,104
2025-08-20T14:32:02Z,105
2025-08-20T14:32:12Z,104
2025-08-20T14:32:17Z,105
2025-08-20T14:32:22Z,104
2025-08-20T14:32:27Z,102
2025-08-20T14:32:32Z,94
2025-08-20T14:32:37Z,92
2025-08-20T14:32:42Z,91
2025-08-20T14:32:47Z,93
2025-08-20T14:32:52Z,94
2025-08-20T14:32:57Z,98
2025-08-20T14:33:13Z,98
2025-08-20T14:33:23Z,99
2025-08-20T14:33:38Z,99
2025-08-20T14:33:48Z,100
2025-08-20T14:33:53Z,101
2025-08-20T14:33:58Z,104
2025-08-20T14:34:03Z,107
2025-08-20T14:34:08Z,112
2025-08-20T14:34:13Z,115
2025-08-20T14:34:18Z,114
2025-08-20T14:34:23Z,111
2025-08-20T14:34:28Z,109
2025-08-20T14:34:33Z,107
2025-08-20T14:34:38Z,108
2025-08-20T14:34:43Z,117
2025-08-20T14:34:48Z,119
2025-08-20T14:34:53Z,118
2025-08-20T14:35:03Z,117
2025-08-20T14:35:08Z,116
2025-08-20T14:35:13Z,112
2025-08-20T14:35:18Z,111
2025-08-20T14:35:23Z,113
2025-08-20T14:35:28Z,117
2025-08-20T14:35:33Z,120
